2019/12/22 08:22:50 [emerg] 1#1: unknown directive "health_check" in /etc/nginx/conf.d/minio.conf:27
2019/12/22 08:30:33 [warn] 6#6: *26 a client request body is buffered to a temporary file /var/cache/nginx/client_temp/0000000003, client: 192.168.16.1, server: minio, request: "PUT /test1/backups_backup_grav-taomed-test-manual.tgz HTTP/1.1", host: "minio"
2019/12/22 11:50:59 [warn] 6#6: *1 a client request body is buffered to a temporary file /var/cache/nginx/client_temp/0000000001, client: 192.168.32.1, server: minio, request: "PUT /minio/upload/test1/backups_backup_grav-taomed-test-manual%20(1).tgz HTTP/1.1", host: "minio", referrer: "http://minio/minio/test1/"
2019/12/22 11:50:59 [warn] 6#6: *12 a client request body is buffered to a temporary file /var/cache/nginx/client_temp/0000000002, client: 192.168.32.1, server: minio, request: "PUT /minio/upload/test1/backups_backup_grav-taomed-test-manual.tgz HTTP/1.1", host: "minio", referrer: "http://minio/minio/test1/"
2019/12/22 11:50:59 [warn] 6#6: *14 a client request body is buffered to a temporary file /var/cache/nginx/client_temp/0000000003, client: 192.168.32.1, server: minio, request: "PUT /minio/upload/test1/backups_exported_configuration_nrm-taomed-manual.tgz HTTP/1.1", host: "minio", referrer: "http://minio/minio/test1/"
2019/12/22 11:50:59 [warn] 6#6: *2 a client request body is buffered to a temporary file /var/cache/nginx/client_temp/0000000004, client: 192.168.32.1, server: minio, request: "PUT /minio/upload/test1/mlm-pro.ru_site_2019-12-19_0020.tgz HTTP/1.1", host: "minio", referrer: "http://minio/minio/test1/"
2019/12/22 11:54:40 [warn] 6#6: *32 a client request body is buffered to a temporary file /var/cache/nginx/client_temp/0000000005, client: 192.168.32.1, server: minio, request: "PUT /minio/upload/test1/backups_exported_configuration_grav-taomed-manual-etalon23102019.tgz HTTP/1.1", host: "minio", referrer: "http://minio/minio/test1/"
2019/12/22 11:54:40 [warn] 6#6: *34 a client request body is buffered to a temporary file /var/cache/nginx/client_temp/0000000006, client: 192.168.32.1, server: minio, request: "PUT /minio/upload/test1/TeamViewer%2014.5.5819%20RePack%20(Install+Portable)%20Setup%20Offline.zip HTTP/1.1", host: "minio", referrer: "http://minio/minio/test1/"
2019/12/22 11:54:40 [warn] 6#6: *35 a client request body is buffered to a temporary file /var/cache/nginx/client_temp/0000000007, client: 192.168.32.1, server: minio, request: "PUT /minio/upload/test1/WifiKeyGen.zip HTTP/1.1", host: "minio", referrer: "http://minio/minio/test1/"
2019/12/22 11:54:41 [warn] 6#6: *30 a client request body is buffered to a temporary file /var/cache/nginx/client_temp/0000000008, client: 192.168.32.1, server: minio, request: "PUT /minio/upload/test1/20190927_132321_1.mp4 HTTP/1.1", host: "minio", referrer: "http://minio/minio/test1/"
2019/12/22 11:54:41 [warn] 6#6: *31 a client request body is buffered to a temporary file /var/cache/nginx/client_temp/0000000009, client: 192.168.32.1, server: minio, request: "PUT /minio/upload/test1/20190927_125736_1.mp4 HTTP/1.1", host: "minio", referrer: "http://minio/minio/test1/"
2019/12/22 11:54:42 [warn] 6#6: *33 a client request body is buffered to a temporary file /var/cache/nginx/client_temp/0000000010, client: 192.168.32.1, server: minio, request: "PUT /minio/upload/test1/ProjectMate%20Setup%207.0.3656.zip HTTP/1.1", host: "minio", referrer: "http://minio/minio/test1/"
2019/12/22 12:01:04 [error] 6#6: *61 connect() failed (113: No route to host) while connecting to upstream, client: 192.168.32.1, server: minio, request: "POST /minio/webrpc HTTP/1.1", upstream: "http://192.168.32.3:9000/minio/webrpc", host: "minio", referrer: "http://minio/minio/test1/"
2019/12/22 12:01:04 [warn] 6#6: *61 upstream server temporarily disabled while connecting to upstream, client: 192.168.32.1, server: minio, request: "POST /minio/webrpc HTTP/1.1", upstream: "http://192.168.32.3:9000/minio/webrpc", host: "minio", referrer: "http://minio/minio/test1/"
2019/12/22 12:01:04 [error] 6#6: *55 connect() failed (113: No route to host) while connecting to upstream, client: 192.168.32.1, server: minio, request: "GET /minio/logo.svg HTTP/1.1", upstream: "http://192.168.32.3:9000/minio/logo.svg", host: "minio", referrer: "http://minio/minio/test1/"
2019/12/22 12:01:04 [warn] 6#6: *55 upstream server temporarily disabled while connecting to upstream, client: 192.168.32.1, server: minio, request: "GET /minio/logo.svg HTTP/1.1", upstream: "http://192.168.32.3:9000/minio/logo.svg", host: "minio", referrer: "http://minio/minio/test1/"
2019/12/22 12:02:19 [error] 6#6: *70 connect() failed (113: No route to host) while connecting to upstream, client: 192.168.32.1, server: minio, request: "POST /minio/webrpc HTTP/1.1", upstream: "http://192.168.32.3:9000/minio/webrpc", host: "minio", referrer: "http://minio/minio/test1/"
2019/12/22 12:02:19 [warn] 6#6: *70 upstream server temporarily disabled while connecting to upstream, client: 192.168.32.1, server: minio, request: "POST /minio/webrpc HTTP/1.1", upstream: "http://192.168.32.3:9000/minio/webrpc", host: "minio", referrer: "http://minio/minio/test1/"
2019/12/22 12:03:01 [error] 6#6: *70 connect() failed (113: No route to host) while connecting to upstream, client: 192.168.32.1, server: minio, request: "POST /minio/webrpc HTTP/1.1", upstream: "http://192.168.32.3:9000/minio/webrpc", host: "minio", referrer: "http://minio/minio/test1/"
2019/12/22 12:03:01 [warn] 6#6: *70 upstream server temporarily disabled while connecting to upstream, client: 192.168.32.1, server: minio, request: "POST /minio/webrpc HTTP/1.1", upstream: "http://192.168.32.3:9000/minio/webrpc", host: "minio", referrer: "http://minio/minio/test1/"
2019/12/22 12:04:09 [error] 6#6: *92 connect() failed (113: No route to host) while connecting to upstream, client: 192.168.32.1, server: minio, request: "GET /minio/loader.css HTTP/1.1", upstream: "http://192.168.32.3:9000/minio/loader.css", host: "minio", referrer: "http://minio/minio/test1/"
2019/12/22 12:04:09 [warn] 6#6: *92 upstream server temporarily disabled while connecting to upstream, client: 192.168.32.1, server: minio, request: "GET /minio/loader.css HTTP/1.1", upstream: "http://192.168.32.3:9000/minio/loader.css", host: "minio", referrer: "http://minio/minio/test1/"
2019/12/22 12:04:16 [error] 6#6: *96 connect() failed (113: No route to host) while connecting to upstream, client: 192.168.32.1, server: minio, request: "GET /minio/logo.svg HTTP/1.1", upstream: "http://192.168.32.2:9000/minio/logo.svg", host: "minio", referrer: "http://minio/minio/test1/"
2019/12/22 12:04:16 [warn] 6#6: *96 upstream server temporarily disabled while connecting to upstream, client: 192.168.32.1, server: minio, request: "GET /minio/logo.svg HTTP/1.1", upstream: "http://192.168.32.2:9000/minio/logo.svg", host: "minio", referrer: "http://minio/minio/test1/"
